Date,Open,High,Low,Close,Adj Close,Volume
4/12/2000,20.46875,21.4375,20.4375,21.21875,12.116488,2337400
4/13/2000,21.5,22.3125,20.5,20.75,11.848818,3147800
4/14/2000,20.375,20.5,19.875,20.125,11.491929,2050600
4/17/2000,19.875,20.375,19.3125,19.625,11.206418,1692800
4/18/2000,19.875,20,19.03125,19.9375,11.38486,1618800
4/19/2000,19.8125,19.96875,18.9375,19.28125,11.010127,1148200
4/20/2000,19,19.5625,18.96875,19.4375,11.09935,1155000
4/24/2000,18.9375,19.6875,18.9375,19.40625,11.081502,1533800
4/25/2000,19.46875,20.625,19.3125,20.46875,11.688221,1887000
4/26/2000,20.4375,20.4375,20.03125,20.0625,11.456239,908200
4/27/2000,20,20.65625,19.9375,20.4375,11.670376,1745800
4/28/2000,20.1875,20.4375,19.96875,20.1875,11.527617,1451600
5/1/2000,19.75,20.21875,19.625,20.21875,11.545465,1827400
5/2/2000,20.4375,21,20.21875,20.34375,11.61684,1803600
5/3/2000,20.375,20.4375,19.96875,20.28125,11.581152,1219600
5/4/2000,20.125,20.125,19.75,19.96875,11.402702,2078400
5/5/2000,19.875,19.875,19.4375,19.6875,11.242104,1786400
5/8/2000,19.75,20.46875,19.59375,20.125,11.491929,1469800
5/9/2000,20.1875,20.8125,20,20.03125,11.438399,1664000
5/10/2000,20,20.875,19.96875,20.875,11.920197,1814000
5/11/2000,21.375,21.4375,20.40625,20.75,11.848818,5960200
5/12/2000,21.28125,22.1875,21.1875,22.03125,12.580454,4789800
5/15/2000,22.15625,22.46875,22.15625,22.46875,12.830277,2729800
5/16/2000,23.8125,24.125,23.1875,23.28125,13.294232,7587000
5/17/2000,23.0625,23.59375,22.8125,23.28125,13.294232,4932800
5/18/2000,23.5,23.78125,22.96875,23.15625,13.22286,4023800
5/19/2000,22.5625,23.65625,22.5625,23.40625,13.365615,2424200
5/22/2000,23.4375,24.8125,23.25,24.78125,14.150772,5611000
5/23/2000,24.5,24.625,23.15625,23.65625,13.508368,5675600
5/24/2000,23.65625,23.71875,23.28125,23.5625,13.454837,2965600
5/25/2000,23.625,24.25,23.625,23.96875,13.686815,2782400
5/26/2000,22.75,23.4375,21.9375,22.34375,12.758895,4164400
5/30/2000,22.375,22.90625,22.375,22.625,12.919496,2494200
5/31/2000,21.8125,21.875,20.75,20.78125,11.866664,4146800
