Date,Open,High,Low,Close,Adj Close,Volume
6/16/2000,62.875,63.59375,62.875,63.15625,49.606289,11100
6/19/2000,62.765625,64.0625,62.765625,64.0625,50.318108,1800
6/20/2000,64,64,63.4375,63.4375,49.827175,4800
6/21/2000,64,64.453125,64,64.453125,50.624924,8900
6/22/2000,63.9375,63.9375,62.5625,62.5625,49.139912,4400
6/23/2000,62.90625,62.90625,62.53125,62.71875,49.262657,600
6/26/2000,63.0625,63.53125,63.0625,63.375,49.778091,1000
6/27/2000,64.03125,64.28125,63.734375,63.953125,50.232174,27700
6/28/2000,64,64.375,62.21875,64.375,50.563549,20600
6/29/2000,65.25,65.28125,64.75,65.28125,51.275349,800
6/30/2000,65.03125,65.125,64.625,64.75,50.858078,88200
7/3/2000,65.8125,66.03125,65.5,66,51.839905,3000
7/5/2000,66.25,67.25,66.25,66.9375,52.576271,2600
7/6/2000,66.8125,66.8125,66.25,66.5625,52.281704,4100
7/7/2000,66.8125,67.34375,66.75,66.84375,52.502628,31300
7/10/2000,67.09375,68,67,67.53125,53.042622,4700
7/11/2000,67.78125,68.6875,67.5625,68.34375,53.680813,25700
7/12/2000,68.34375,68.34375,67.3125,67.65625,53.140808,112000
7/13/2000,66.75,66.75,64.75,64.75,50.858078,13300
7/14/2000,64.5,64.5,62.90625,63.484375,49.864002,11000
7/17/2000,63.734375,65.90625,63.734375,65.5,51.447182,18800
7/18/2000,65.5,65.5,64.8125,64.84375,50.931732,2000
7/19/2000,65.03125,65.03125,63.375,63.65625,49.999767,7400
7/20/2000,62.9375,63.25,62.75,62.75,49.287941,15900
7/21/2000,63,63.71875,63,63.65625,49.999767,22900
7/24/2000,64.3125,65.03125,64.3125,64.75,50.858875,2200
7/25/2000,64.1875,64.1875,62.75,62.75,49.287941,3200
7/26/2000,62.8125,63.40625,62.484375,62.625,49.189751,3100
7/27/2000,62.96875,63.859375,62.8125,63.859375,50.159313,3500
7/28/2000,63.625,63.71875,63.21875,63.4375,49.827961,3000
7/31/2000,63.4375,63.4375,62.4375,62.5,49.091591,7000
8/1/2000,63.96875,64.90625,63.625,64.78125,50.88343,36700
8/2/2000,64.71875,65.625,64.5625,65.3125,51.300701,17400
8/3/2000,65.375,65.8125,65.34375,65.8125,51.693443,3500
8/4/2000,65.625,65.625,65,65.21875,51.227081,2400
8/7/2000,65.5625,65.5625,65.40625,65.40625,51.374332,600
8/8/2000,65,65.65625,64.53125,65.4375,51.398869,5600
8/9/2000,64.875,65.46875,62,62,48.698849,103800
8/10/2000,62.25,62.75,62.21875,62.375,48.993401,5400
8/11/2000,62.59375,63.4375,62.4375,63.3125,49.729778,4400
8/14/2000,63.3125,63.3125,62.6875,63.1875,49.631569,4700
8/15/2000,63,63.21875,62.46875,62.46875,49.067032,9600
8/16/2000,62.875,63.25,62.8125,63,49.48431,7000
8/17/2000,62.875,63.78125,62.875,63.5625,49.926125,5400
8/18/2000,62.84375,62.84375,61.9375,62.125,48.797039,30300
8/21/2000,62.21875,63.09375,62.21875,62.9375,49.43523,3100
8/22/2000,63,63.21875,62.6875,62.6875,49.238842,4500
8/23/2000,62.90625,63.375,62.90625,63,49.48431,6700
8/24/2000,63.3125,63.8125,63.296875,63.78125,50.097942,10000
8/25/2000,63.96875,64.3125,63.96875,64.21875,50.441593,13900
8/28/2000,64.3125,64.5625,63.6875,63.6875,50.024319,5500
8/29/2000,63.328125,63.640625,62.84375,62.84375,49.36158,7700
8/30/2000,62.75,63.375,62.75,63.25,49.680676,6400
8/31/2000,63.53125,64.46875,63.53125,64.09375,50.343399,5500
9/1/2000,64,64.1875,63.875,64.03125,50.294334,3900
9/5/2000,63,63,61.875,62.296875,48.932014,17200
9/6/2000,62.25,62.25,60.6875,60.8125,47.766094,9800
9/7/2000,61.25,62.125,61.125,61.875,48.600658,22200
9/8/2000,61.875,62.40625,61.75,62.015625,48.711105,10400
9/11/2000,62,62.03125,61.65625,61.90625,48.625214,5000
9/12/2000,62.5,62.59375,62.3125,62.3125,48.944302,5100
