Date,Open,High,Low,Close,Adj Close,Volume
4/13/2009,20.209999,20.719999,20.07,20.540001,16.456009,13678000
4/14/2009,20.299999,20.700001,20.16,20.24,16.215664,13458100
4/15/2009,20.17,20.65,20.09,20.43,16.367886,10098200
4/16/2009,20.74,21.26,20.459999,21.120001,16.920687,15534200
4/17/2009,21.27,21.34,20.969999,21.110001,16.912672,9920500
4/20/2009,20.77,20.799999,20.110001,20.18,16.167593,11248100
4/21/2009,20.030001,20.719999,19.98,20.67,16.560165,3242900
4/22/2009,20.41,21.48,20.41,20.99,16.816544,13736400
4/23/2009,21.17,21.290001,20.690001,21.219999,17.000803,8470900
4/24/2009,21.49,21.799999,21.280001,21.66,17.353325,9277200
4/27/2009,21.49,21.690001,21.18,21.23,17.008821,7980500
4/28/2009,21.030001,21.33,20.799999,20.98,16.808521,9556200
4/29/2009,21.18,21.950001,21.18,21.68,17.369347,14356600
4/30/2009,22.139999,22.32,21.65,21.76,17.433441,11382600
5/1/2009,21.780001,22.24,21.66,22,17.625721,9052100
5/4/2009,22.290001,22.84,22.059999,22.719999,18.20256,9579800
5/5/2009,22.639999,22.889999,22.52,22.790001,18.25865,9942600
5/6/2009,23.01,23.23,22.700001,23.15,18.547066,18727800
5/7/2009,23.370001,23.389999,22.51,22.68,18.170517,17176100
5/8/2009,22.870001,23.51,22.870001,23.51,18.835487,9326800
5/11/2009,23.030001,23.219999,22.780001,22.809999,18.27467,10456900
5/12/2009,23.07,23.07,22.16,22.559999,18.074371,12735500
5/13/2009,22.01,22.25,21.549999,21.629999,17.329288,12479500
5/14/2009,21.58,22.07,21.58,21.790001,17.457478,10311200
5/15/2009,21.870001,22.190001,21.629999,21.799999,17.46549,17495800
5/18/2009,21.91,22.6,21.91,22.6,18.106424,10524600
5/19/2009,22.549999,22.709999,22.33,22.43,17.970222,19701800
5/20/2009,22.790001,23.09,22.450001,22.450001,17.986244,13316600
5/21/2009,22.110001,22.25,21.549999,21.77,17.44145,20545700
5/22/2009,21.75,21.99,21.57,21.690001,17.377359,8858200
5/26/2009,21.84,22.51,21.51,22.48,18.010277,16082300
5/27/2009,22.48,22.58,21.75,21.75,17.425432,10835700
5/28/2009,21.950001,22.09,21.469999,21.959999,17.593676,10851400
5/29/2009,22.16,22.52,21.93,22.49,18.018295,10999600
6/1/2009,22.969999,23.58,22.77,23.530001,18.851507,19477000
6/2/2009,23.4,23.75,23.370001,23.57,18.883551,10763500
6/3/2009,23.26,23.459999,22.9,23.110001,18.51502,15375500
6/4/2009,23.26,23.58,23.059999,23.530001,18.851507,7971400
6/5/2009,24.049999,24.08,23.6,23.73,19.011738,12146000
6/8/2009,23.719999,23.92,23.32,23.790001,19.059813,8434700
6/9/2009,23.84,23.870001,23.49,23.74,19.019754,10302600
6/10/2009,24.09,24.129999,23.17,23.59,18.899582,12810100
6/11/2009,23.540001,23.860001,23.5,23.549999,18.867533,10526900
6/12/2009,23.530001,23.6,23.23,23.59,18.899582,8454700
6/15/2009,23.48,23.48,22.66,22.870001,18.322739,8953300
6/16/2009,22.969999,23.059999,22.450001,22.450001,17.986244,9303600
6/17/2009,22.34,22.540001,22.16,22.280001,17.850048,17690700
6/18/2009,22.450001,22.459999,22.030001,22.299999,17.866068,12271900
6/19/2009,22.49,22.639999,22.059999,22.200001,17.904785,8822300
6/22/2009,22.02,22.049999,21.370001,21.459999,17.307955,11339600
6/23/2009,21.389999,21.469999,21.08,21.26,17.14665,14739300
6/24/2009,21.48,21.9,21.290001,21.4,17.259565,13853900
6/25/2009,21.32,22.110001,21.32,22.059999,17.791876,18079300
6/26/2009,22.07,22.200001,21.91,21.969999,17.719282,11819300
6/29/2009,22.15,22.35,21.950001,22.190001,17.896721,6238800
6/30/2009,22.190001,22.290001,21.77,21.959999,17.711216,8985100
7/1/2009,21.76,22.370001,21.75,22.049999,17.783806,14009300
7/2/2009,22.01,22.01,21.32,21.360001,17.227308,13736200
7/6/2009,21.09,21.370001,21,21.370001,17.235371,13749300
7/7/2009,21.24,21.299999,20.59,20.639999,16.646608,13589900
7/8/2009,20.6,20.77,20.290001,20.559999,16.582087,18108100
7/9/2009,20.690001,20.84,20.58,20.75,16.735334,10261300
7/10/2009,20.559999,20.809999,20.209999,20.719999,16.711134,13920900
7/13/2009,20.85,21.290001,20.57,21.25,17.138592,9447400
7/14/2009,21.49,21.559999,21.24,21.559999,17.388605,7456600
7/15/2009,21.91,22.280001,21.77,22.23,17.928982,12194400
7/16/2009,22.219999,22.75,22.1,22.639999,18.259653,9079900
7/17/2009,22.59,22.59,22.209999,22.379999,18.049955,8516800
7/20/2009,22.66,22.9,22.530001,22.83,18.412895,11225700
7/21/2009,23.110001,23.299999,22.58,22.84,18.420959,11590000
7/22/2009,22.74,23.059999,22.690001,22.91,18.477417,8604600
7/23/2009,22.809999,23.51,22.780001,23.389999,18.864544,12070000
7/24/2009,23.25,23.440001,23.040001,23.41,18.88068,7254100
7/27/2009,23.42,23.58,23.219999,23.540001,18.985525,8301500
7/28/2009,23.440001,23.690001,23.24,23.52,18.969393,6436600
7/29/2009,23.34,23.42,23.09,23.41,18.88068,11747600
