Date,Open,High,Low,Close,Adj Close,Volume
11/18/2002,20.75,20.75,20.299999,20.299999,14.46957,13800
11/19/2002,20.1,20.49,20.1,20.33,14.490957,52500
11/20/2002,20.299999,20.67,20.25,20.629999,14.704797,46900
11/21/2002,20.629999,21.48,20.629999,21.48,15.310657,77800
11/22/2002,21.360001,21.469999,21.24,21.379999,15.239384,37600
11/25/2002,21.280001,21.459999,21.049999,21.34,15.210868,50300
11/26/2002,21.09,21.299999,20.950001,21.040001,14.997031,884300
11/27/2002,21.23,21.75,21.23,21.6,15.396195,67600
11/29/2002,21.51,21.75,21.51,21.549999,15.36056,25100
12/2/2002,21.85,22.09,21.5,21.690001,15.46034,979000
12/3/2002,21.75,21.75,21.24,21.33,15.203747,56700
12/4/2002,21.24,21.530001,21.040001,21.26,15.15385,59100
12/5/2002,21.280001,21.280001,20.950001,21.040001,14.997031,34500
12/6/2002,20.790001,21.18,20.74,21.030001,14.989904,67300
12/9/2002,20.9,21.049999,20.700001,20.700001,14.75469,47600
12/10/2002,20.709999,20.969999,20.620001,20.870001,14.87586,57500
12/11/2002,20.9,21.120001,20.74,20.98,14.954267,38400
12/12/2002,21.1,21.1,20.77,20.9,14.897241,1076900
12/13/2002,20.799999,21,20.459999,20.540001,14.640644,51300
12/16/2002,20.610001,21.049999,20.610001,21.049999,15.004169,78200
12/17/2002,20.790001,21.09,20.790001,20.790001,14.818838,32000
12/18/2002,20.85,20.85,20.610001,20.76,14.797456,66200
12/19/2002,20.76,20.950001,20.469999,20.610001,14.690542,101300
12/20/2002,20.700001,20.82,20.6,20.82,14.922033,365900
12/23/2002,20.57,20.889999,20.57,20.719999,14.850364,95400
12/24/2002,20.75,20.809999,20.57,20.620001,14.778697,25300
12/26/2002,20.5,21.059999,20.5,20.690001,14.828868,30100
12/27/2002,20.6,20.68,20.290001,20.290001,14.542177,243500
12/30/2002,20.700001,20.700001,20.16,20.4,14.621012,373300
12/31/2002,20.65,20.65,20.27,20.59,14.757194,72400
1/2/2003,20.83,21.26,20.620001,21.120001,15.137051,320600
1/3/2003,21.25,21.25,20.969999,21.190001,15.187216,70700
1/6/2003,21.299999,21.559999,21.25,21.379999,15.323398,76900
1/7/2003,21.4,21.440001,21.1,21.26,15.237392,62500
1/8/2003,21.200001,21.219999,20.82,21,15.051043,41800
1/9/2003,21,21.290001,21,21.27,15.244557,177500
1/10/2003,21.1,21.360001,20.98,21.23,15.215888,99400
1/13/2003,21.299999,21.299999,20.98,21.190001,15.187216,101900
1/14/2003,21.25,21.25,21.01,21.23,15.215888,357900
1/15/2003,21.35,21.35,20.76,20.93,15.000873,88000
1/16/2003,20.93,21.15,20.76,20.809999,14.914864,143400
1/17/2003,20.5,20.82,20.5,20.66,14.807358,33300
1/21/2003,20.6,20.799999,20.139999,20.15,14.441837,67100
1/22/2003,19.950001,20.15,19.700001,19.77,14.169488,105300
1/23/2003,20,20.17,19.75,20.129999,14.427495,134400
1/24/2003,19.950001,19.950001,19.459999,19.51,13.983136,65000
1/27/2003,19.35,19.6,19.200001,19.360001,13.875629,76600
1/28/2003,19.200001,19.65,19.200001,19.48,13.961636,218800
1/29/2003,19.48,19.799999,19.15,19.5,13.975967,28000
1/30/2003,19.65,19.65,19.16,19.16,13.732292,94800
1/31/2003,19.299999,19.68,19.26,19.48,13.961636,57700
