Date,Open,High,Low,Close,Adj Close,Volume
2009-04-13,16.780001,16.889999,16.590000,16.730000,14.049940,5776400
2009-04-14,16.700001,16.719999,16.459999,16.549999,13.898770,5434600
2009-04-15,16.420000,16.540001,16.270000,16.500000,13.856787,5672900
2009-04-16,16.719999,17.070000,16.590000,16.990000,14.268289,14774300
2009-04-17,17.000000,17.049999,16.790001,16.959999,14.243096,8981400
2009-04-20,16.690001,16.700001,16.379999,16.420000,13.789601,5375300
2009-04-21,16.360001,16.730000,16.309999,16.700001,14.024748,2146900
2009-04-22,16.639999,17.110001,16.600000,16.780001,14.091933,9122800
2009-04-23,16.900000,16.920000,16.510000,16.860001,14.159118,6820900
2009-04-24,17.000000,17.250000,16.860001,17.100000,14.360666,5195500
2009-04-27,16.969999,17.270000,16.940001,17.020000,14.293480,4374600
2009-04-28,16.930000,17.139999,16.799999,17.010000,14.285088,7075700
2009-04-29,17.139999,17.450001,17.059999,17.200001,14.444652,5524700
2009-04-30,17.480000,17.670000,17.190001,17.250000,14.486638,12714200
2009-05-01,17.309999,17.480000,17.110001,17.480000,14.679797,3511200
2009-05-04,17.600000,17.830000,17.500000,17.799999,14.948533,4552100
2009-05-05,17.700001,17.750000,17.549999,17.690001,14.856153,4544100
2009-05-06,17.889999,17.889999,17.520000,17.790001,14.940139,7247400
2009-05-07,17.830000,17.879999,17.030001,17.110001,14.369066,18319700
2009-05-08,17.330000,17.370001,16.940001,17.090000,14.352272,6862300
2009-05-11,16.930000,17.320000,16.900000,17.139999,14.394262,5696000
2009-05-12,17.260000,17.290001,16.959999,17.049999,14.318680,5802800
2009-05-13,16.950001,16.990000,16.620001,16.620001,13.957568,13209400
2009-05-14,16.740000,17.000000,16.690001,16.799999,14.108731,6752500
2009-05-15,16.950001,17.059999,16.799999,16.799999,14.108731,7018300
2009-05-18,17.000000,17.260000,16.900000,17.260000,14.495042,4338700
2009-05-19,17.180000,17.500000,17.150000,17.360001,14.579021,7119000
2009-05-20,17.480000,17.559999,17.160000,17.180000,14.427855,8700800
2009-05-21,17.049999,17.110001,16.719999,16.879999,14.175917,6450800
2009-05-22,16.950001,17.040001,16.700001,16.940001,14.226305,5434700
2009-05-26,16.760000,17.420000,16.700001,17.379999,14.595816,5743400
2009-05-27,17.389999,17.600000,17.200001,17.209999,14.453045,7714900
2009-05-28,17.420000,17.540001,17.110001,17.459999,14.662998,6177900
2009-05-29,17.510000,17.680000,17.340000,17.650000,14.822559,5396800
2009-06-01,17.889999,18.200001,17.830000,18.150000,15.242466,7937100
