"MacroTrends Data Download"
"IBM - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1962-01-02,28.925,28.925,28.6,28.6,387200
1962-01-03,28.6,28.85,28.6,28.85,288000
1962-01-04,28.85,28.85,28.55,28.5625,256000
1962-01-05,28.525,28.525,27.95,28,363200
1962-01-08,27.975,27.975,27.25,27.475,544000
1962-01-09,27.6,28.15,27.6,27.8,491200
1962-01-10,27.85,27.975,27.85,27.85,299200
1962-01-11,27.925,28.15,27.925,28.15,315200
1962-01-12,28.2,28.4,28.2,28.2,435200
1962-01-15,28.3,28.3875,28.3,28.325,251200
1962-01-16,28.3,28.3,28.025,28.025,251200
1962-01-17,27.9,27.9,27.5,27.575,419200
1962-01-18,27.65,27.925,27.65,27.65,371200
1962-01-19,27.65,27.725,27.35,27.675,400000
1962-01-22,27.675,27.95,27.6,27.625,275200
1962-01-23,27.6125,27.65,27.3,27.35,371200
1962-01-24,27.35,27.5,27.2125,27.5,408000
1962-01-25,27.5,27.725,27.15,27.2,315200
1962-01-26,27.2,27.3,27.05,27.0625,243200
1962-01-29,27.0625,27.25,26.6,26.6,579200
1962-01-30,26.6,26.75,26.2625,26.2625,736000
1962-01-31,26.525,27.1,26.525,27.1,760000
1962-02-01,27.375,27.8,27.375,27.725,640000
1962-02-02,27.725,27.9,27.6,27.9,507200
1962-02-05,27.9,27.9,27.4,27.55,312000
1962-02-06,27.55,27.6,27.45,27.575,256000
1962-02-07,27.6,27.75,27.6,27.6,251200
1962-02-08,27.6,27.75,27.6,27.625,16000
1962-02-09,27.625,27.825,27.5,27.825,432000
1962-02-12,27.825,28.05,27.8,27.85,280000
1962-02-13,27.85,27.875,27.4,27.4,256000
1962-02-14,27.4,27.5,27.3,27.35,208000
1962-02-15,27.35,27.35,27.225,27.25,227200
1962-02-16,27.25,27.35,27.225,27.225,219200
1962-02-19,27.225,27.35,26.9,26.95,280000
1962-02-20,26.9625,27.1,26.9625,26.9625,288000
1962-02-21,26.9625,27.15,26.7625,26.7625,363200
1962-02-23,26.8,26.9,26.8,26.85,288000
1962-02-26,26.85,26.875,26.7,26.75,299200
1962-02-27,26.75,26.975,26.6,26.8,347200
1962-02-28,26.8,26.85,26.65,26.85,267200
1962-03-01,26.95,27.175,26.95,27.175,280000
1962-03-02,27.4,27.55,27.4,27.4,243200
1962-03-05,27.4,27.4,27.2,27.3,360000
1962-03-06,27.3,27.425,27.25,27.325,184000
1962-03-07,27.325,27.4125,27.25,27.4125,123200
1962-03-08,27.4125,27.475,27.25,27.475,184000
1962-03-09,27.5,27.65,27.5,27.65,288000
1962-03-12,27.65,27.725,27.55,27.625,280000
1962-03-13,27.625,27.625,27.5,27.6,123200
1962-03-14,27.6,27.675,27.5,27.55,195200
1962-03-15,27.55,27.7,27.5,27.5,243200
1962-03-16,27.5,27.625,27.5,27.625,160000
1962-03-19,27.675,27.8,27.675,27.7,371200
1962-03-20,27.65,27.65,27.525,27.525,160000
1962-03-21,27.525,27.6,27.45,27.55,256000
1962-03-22,27.45,27.45,27.25,27.25,240000
1962-03-23,27.275,27.4,27.275,27.35,184000
1962-03-26,27.35,27.45,27.3,27.3375,131200
1962-03-27,27.275,27.275,26.8,26.825,347200
1962-03-28,26.85,27.05,26.85,26.975,328000
1962-03-29,26.975,27.1,26.9,26.9,227200
1962-03-30,26.85,26.85,26.5125,26.6375,435200
1962-04-02,26.625,26.625,26.275,26.275,371200
1962-04-03,26.25,26.25,25.35,25.625,912000
1962-04-04,25.625,25.85,25.5125,25.5125,648000
1962-04-05,25.65,26.05,25.65,26.05,912000
1962-04-06,26.05,26.25,25.85,26.025,432000
1962-04-09,26.025,26.175,25.85,26.05,16000
1962-04-10,26.05,26.15,25.9,26.15,256000
1962-04-11,26.15,26.35,25.8,25.8,528000
1962-04-12,25.8,25.85,25.525,25.525,400000
1962-04-13,25.525,25.9,25.5,25.9,627200
1962-04-16,25.9,26.075,25.6,25.875,507200
1962-04-17,25.875,26,25.75,26,299200
1962-04-18,26,26.225,25.925,25.95,424000
1962-04-19,25.95,26.05,25.85,25.95,387200
1962-04-23,25.95,25.975,25.825,25.925,312000
1962-04-24,25.925,26.0875,25.875,25.9,456000
1962-04-25,25.9,26,25.625,25.625,459200
1962-04-26,25.6,25.6,24.975,24.975,928000
1962-04-27,24.975,25.25,24,24.275,1632000
1962-04-30,24.275,24.5,22.5,22.7,2344000
1962-05-01,22.7,23.225,21.5,23.1,5315200
1962-05-02,23.5,24.2,23.5,23.625,2555200
1962-05-03,23.625,24.2,23.45,24.1125,1360000
1962-05-04,24.1125,24.3,23.875,24.3,779200
1962-05-07,24.3,24.4875,23.7625,23.7625,827200
1962-05-08,23.731,23.731,22.975,22.975,1032000
1962-05-09,22.975,23.1875,22.5,22.55,1600000
1962-05-10,22.55,22.9875,22.45,22.65,1907200
1962-05-11,22.65,23,22.2,22.3,1896000
1962-05-14,22.3,22.725,21.9125,22.725,2728000
1962-05-15,22.725,23.15,22.6,22.6,1683200
1962-05-16,22.6,22.975,22.6,22.85,880000
1962-05-17,22.85,22.85,22.35,22.45,971200
1962-05-18,22.45,22.575,22.275,22.575,731200
1962-05-21,22.575,22.575,22.3,22.5,395200
1962-05-22,22.475,22.475,21.75,21.75,1000000
1962-05-23,21.75,21.9,20.7625,20.7625,2891200
1962-05-24,20.7625,21.3,19.9,19.9,4152000
1962-05-25,19.9,20.35,19.4,19.925,4299200
1962-05-28,19.85,19.85,17.75,18.05,4320000
1962-05-29,18.275,19.35,18.275,19.15,3856000
1962-05-31,19.5,20,19.5,19.625,4128000
1962-06-01,19.55,19.55,19.1375,19.25,2411200
1962-06-04,19,19,18,18,1811200
1962-06-05,18,18.7,17.65,18.2065,3160000
1962-06-06,18.2065,18.8,18.1,18.275,2880000
1962-06-07,18.4,18.7,18.4,18.5,1227200
1962-06-08,18.5125,18.8,18.5125,18.5625,1168000
1962-06-11,18.5625,18.6,17.925,17.95,1187200
1962-06-12,17.75,17.75,16.756,16.756,3328000
1962-06-13,16.756,17.15,16.1125,16.1315,4384000
1962-06-14,16.1315,16.5875,15,15.3,6675200
1962-06-15,15.3,16.725,15.025,16.675,6328000
1962-06-18,16.675,16.9875,15.875,16.4875,4768000
1962-06-19,16.4875,16.8,16.3,16.8,2104000
1962-06-20,16.8,17.1375,16.4,16.4,3059200
1962-06-21,16.2,16.2,15.7625,15.7875,3707200
1962-06-22,15.7875,16.075,15.525,16,3371200
1962-06-25,16,16.8,15.775,16.625,3792000
1962-06-26,16.625,16.95,16,16,3227200
1962-06-27,16.025,16.65,16.025,16.65,2955200
1962-06-28,16.7625,17.425,16.7625,17.2,4083200
1962-06-29,17.2,17.375,16.9125,16.9625,2824000
1962-07-02,16.9625,17.5,16.925,17.5,1392000
1962-07-03,17.5,17.6875,17.4,17.575,2584000
1962-07-05,17.575,17.65,17.4375,17.5,2016000
1962-07-06,17.3,17.3,17.1,17.25,1624000
1962-07-09,17.25,17.525,17.05,17.5125,1888000
1962-07-10,17.8125,18.0875,17.8125,17.9375,3048000
1962-07-11,17.9375,18.725,17.8625,18.719,3312000
1962-07-12,18.7625,19.4875,18.7625,18.95,3299200
1962-07-13,18.95,19.075,18.625,18.8125,2104000
1962-07-16,18.8125,19.125,18.625,19.125,1656000
1962-07-17,19.125,19.225,18.5,18.506,1707200
1962-07-18,18.506,18.6,18.1,18.2625,2435200
1962-07-19,18.3625,18.8,18.3625,18.375,2195200
1962-07-20,18.425,18.7,18.425,18.6,675200
1962-07-23,18.6,18.85,18.575,18.65,840000
1962-07-24,18.55,18.55,18.1625,18.1625,888000
1962-07-25,18.1625,18.425,17.9375,18.375,1875200
1962-07-26,18.4625,18.65,18.4625,18.475,947200
1962-07-27,18.475,18.794,18.4625,18.794,947200
1962-07-30,18.9125,19.3685,18.9125,19.3685,2848000
1962-07-31,19.3685,19.675,19.35,19.35,2771200
1962-08-01,19.3,19.3,18.8125,18.8125,1216000
1962-08-02,18.825,19.2875,18.825,19.2875,1488000
1962-08-03,19.2875,19.375,19.1,19.25,947200
1962-08-06,19.25,19.325,18.975,19,6603200
1962-08-07,18.9815,18.9815,18.6625,18.6625,915200
1962-08-08,18.6625,19.15,18.525,19.0875,1576000
1962-08-09,19.075,19.075,18.7565,18.825,1288000
1962-08-10,18.825,18.9875,18.7565,18.7875,976000
1962-08-13,18.8,18.9875,18.8,18.9375,1019200
1962-08-14,18.9375,19.3,18.9065,19.3,1896000
1962-08-15,19.325,19.7125,19.325,19.325,2344000
1962-08-16,19.325,19.6375,19.2875,19.3125,1272000
1962-08-17,19.3125,19.575,19.3,19.475,888000
1962-08-20,19.575,19.8625,19.575,19.6875,1803200
1962-08-21,19.6875,19.9,19.6,19.6375,1296000
1962-08-22,19.675,20.575,19.675,20.45,3304000
1962-08-23,20.45,20.7375,20.3625,20.525,2920000
1962-08-24,20.525,20.55,20.375,20.45,1248000
1962-08-27,20.45,20.5875,20.375,20.4,912000
1962-08-28,20.3875,20.3875,19.675,19.675,2747200
1962-08-29,19.675,19.8,19.4125,19.55,2520000
1962-08-30,19.55,19.725,19.35,19.3875,947200
1962-08-31,19.425,19.8875,19.425,19.8125,1227200
1962-09-04,19.8125,20.075,19.3,19.375,1624000
1962-09-05,19.375,19.6,19.075,19.15,2248000
1962-09-06,19.15,19.4435,19.05,19.4,1811200
1962-09-07,19.4,19.544,19.1125,19.1125,1320000
1962-09-10,19.1125,19.3375,18.875,19.2125,1803200
1962-09-11,19.2125,19.3875,19.05,19.1,1539200
1962-09-12,19.125,19.325,19.125,19.181,1299200
1962-09-13,19.181,19.325,19.169,19.175,843200
1962-09-14,19.175,19.45,19.15,19.4125,1091200
